dutch,english,category,example_dutch,example_english
de nicht,the cousin (female) / niece,Family & People,Mijn nicht woont in Amsterdam.,My cousin lives in Amsterdam.
de soep,the soup,Food & Drink,De soep is warm.,The soup is warm.
het water,the water,Food & Drink,Mag ik een glas water?,May I have a glass of water?
de melk,the milk,Food & Drink,De melk staat in de koelkast.,The milk is in the fridge.
het ei,the egg,Food & Drink,Ik eet een gekookt ei.,I eat a boiled egg.
de rijst,the rice,Food & Drink,Wij eten rijst met kip.,We eat rice with chicken.
de saus,the sauce,Food & Drink,Wil je saus bij de patat?,Do you want sauce with the fries?
vegetarisch,vegetarian,Food & Drink,Heeft u een vegetarisch gerecht?,Do you have a vegetarian dish?
allergisch,allergic,Food & Drink,Ik ben allergisch voor noten.,I'm allergic to nuts.
het menu,the menu,Food & Drink,Mag ik het menu?,May I see the menu?
de kip,the chicken,Food & Drink,Ik bestel kip met rijst.,I order chicken with rice.
het broodje gezond,the healthy sandwich,Food & Drink,Ik neem een broodje gezond.,I'll have a healthy sandwich.
de pannenkoek,the pancake,Food & Drink,De kinderen eten pannenkoeken.,The children eat pancakes.
de chocolade,the chocolate,Food & Drink,Ik hou van chocolade.,I love chocolate.
het sap,the juice,Food & Drink,Wil je sinaasappelsap?,Do you want orange juice?
de suiker,the sugar,Food & Drink,Wil je suiker in je thee?,Do you want sugar in your tea?
hardlopen,to run (sport),Sports & Hobbies,Ik ga elke ochtend hardlopen.,I go running every morning.
de muziek,the music,Sports & Hobbies,Ik luister naar muziek.,I listen to music.
tekenen,to draw,Sports & Hobbies,Mijn dochter tekent een bloem.,My daughter draws a flower.
fietsen,to cycle,Sports & Hobbies,Wij fietsen naar het werk.,We cycle to work.
de gitaar,the guitar,Sports & Hobbies,Hij speelt gitaar.,He plays guitar.
zingen,to sing,Sports & Hobbies,Zij zingt in een koor.,She sings in a choir.
schilderen,to paint,Sports & Hobbies,Ik schilder graag.,I like to paint.
het theater,the theatre,Sports & Hobbies,We gaan naar het theater.,We go to the theatre.
het concert,the concert,Sports & Hobbies,Het concert is vanavond.,The concert is tonight.
kijken,to watch / look,Sports & Hobbies,We kijken naar de wedstrijd.,We watch the match.
luisteren,to listen,Sports & Hobbies,Ik luister naar de radio.,I listen to the radio.
spelen,to play,Sports & Hobbies,De kinderen spelen in het park.,The children play in the park.
fotograferen,to take photos,Sports & Hobbies,Ik fotografeer graag.,I like to take photos.
de hobby,the hobby,Sports & Hobbies,Wat is je hobby?,What is your hobby?
de allergie,the allergy,Health & Body,Ik heb een allergie voor pinda's.,I have an allergy to peanuts.
het bloed,the blood,Health & Body,Er is bloed op de vloer.,There is blood on the floor.
de wond,the wound,Health & Body,De wond is niet diep.,The wound is not deep.
de pil,the pill,Health & Body,Neem twee pillen per dag.,Take two pills per day.
het verband,the bandage,Health & Body,De dokter doet er een verband om.,The doctor puts a bandage on it.
de EHBO,the first aid,Health & Body,Waar is de EHBO?,Where is the first aid?
de tandarts,the dentist,Health & Body,Ik ga twee keer per jaar naar de tandarts.,I go to the dentist twice a year.
gezond,healthy,Health & Body,Groente is gezond.,Vegetables are healthy.
ongezond,unhealthy,Health & Body,Te veel suiker is ongezond.,Too much sugar is unhealthy.
het oog,the eye,Health & Body,Zij heeft blauwe ogen.,She has blue eyes.
het oor,the ear,Health & Body,Mijn oor doet pijn.,My ear hurts.
de vinger,the finger,Health & Body,Ik heb mijn vinger gesneden.,I cut my finger.
de knie,the knee,Health & Body,Mijn knie doet pijn.,My knee hurts.
het haar,the hair,Health & Body,Zij heeft lang haar.,She has long hair.
de hand,the hand,Health & Body,Was je handen.,Wash your hands.
de ov-chipkaart,the public transport chip card,Transport & Travel,Vergeet je ov-chipkaart niet.,Don't forget your public transport card.
de luchthaven,the airport,Transport & Travel,De luchthaven is ver van de stad.,The airport is far from the city.
de reis,the trip / journey,Transport & Travel,De reis duurt twee uur.,The trip takes two hours.
het retour,the return (ticket),Transport & Travel,"Een retour naar Amsterdam, alstublieft.","A return to Amsterdam, please."
de enkele reis,the single (one-way) ticket,Transport & Travel,Ik wil een enkele reis naar Utrecht.,I want a single ticket to Utrecht.
de fietspad,the bike path,Transport & Travel,Nederland heeft veel fietspaden.,The Netherlands has many bike paths.
de veerboot,the ferry,Transport & Travel,We nemen de veerboot naar het eiland.,We take the ferry to the island.
de snelweg,the motorway,Transport & Travel,Er is een file op de snelweg.,There is a traffic jam on the motorway.
overstappen,to transfer / change (transport),Transport & Travel,Je moet overstappen in Utrecht.,You have to change in Utrecht.
de file,the traffic jam,Transport & Travel,Er is veel file in de ochtend.,There are many traffic jams in the morning.
reserveren,to reserve / book,Hotel & Accommodation,Ik wil een kamer reserveren.,I want to book a room.
de sleutel,the key,Hotel & Accommodation,Hier is de sleutel van uw kamer.,Here is the key to your room.
het ontbijt inbegrepen,breakfast included,Hotel & Accommodation,Is het ontbijt inbegrepen?,Is breakfast included?
de wifi,the WiFi,Hotel & Accommodation,Wat is het wifi-wachtwoord?,What is the WiFi password?
de handdoek,the towel,Hotel & Accommodation,Er liggen handdoeken in de badkamer.,There are towels in the bathroom.
de lift,the elevator,Hotel & Accommodation,De lift is naast de receptie.,The elevator is next to the reception.
de balie,the front desk,Hotel & Accommodation,Vraag bij de balie.,Ask at the front desk.
het uitzicht,the view,Hotel & Accommodation,De kamer heeft een mooi uitzicht.,The room has a nice view.
de klacht,the complaint,Hotel & Accommodation,Ik heb een klacht over de kamer.,I have a complaint about the room.
overnachten,to stay overnight,Hotel & Accommodation,Wij overnachten in een hotel.,We stay overnight in a hotel.
Kerstmis,Christmas,Celebrations,Met Kerstmis eten we samen.,At Christmas we eat together.
Sinterklaas,Sinterklaas (Dutch St Nicholas),Celebrations,Sinterklaas is op 5 december.,Sinterklaas is on December 5th.
Nieuwjaar,New Year,Celebrations,Gelukkig Nieuwjaar!,Happy New Year!
de bloemen,the flowers,Celebrations,Ik geef bloemen aan mijn moeder.,I give flowers to my mother.
feliciteren,to congratulate,Celebrations,Ik wil je feliciteren!,I want to congratulate you!
het kado,the gift / present,Celebrations,Dit kado is voor jou.,This gift is for you.
Pasen,Easter,Celebrations,Met Pasen zoeken we eieren.,At Easter we search for eggs.
de bruiloft,the wedding,Celebrations,De bruiloft is in juni.,The wedding is in June.
Gelukkig Nieuwjaar!,Happy New Year!,Celebrations,Gelukkig Nieuwjaar! Proost!,Happy New Year! Cheers!
proost,cheers,Celebrations,Proost! Op een goed jaar!,Cheers! To a good year!
dertig,thirty,Numbers,Ik ben dertig jaar oud.,I'm thirty years old.
veertig,forty,Numbers,Mijn vader is veertig jaar oud.,My father is forty years old.
vijftig,fifty,Numbers,Er zijn vijftig leerlingen.,There are fifty students.
zestig,sixty,Numbers,Mijn opa is zestig.,My grandpa is sixty.
zeventig,seventy,Numbers,De snelheid is zeventig kilometer per uur.,The speed is seventy kilometres per hour.
tachtig,eighty,Numbers,Mijn oma is tachtig jaar.,My grandma is eighty years old.
negentig,ninety,Numbers,Het kost negentig euro.,It costs ninety euros.
duizend,thousand,Numbers,De huur is duizend euro.,The rent is a thousand euros.
eerste,first,Numbers,Dit is de eerste keer.,This is the first time.
tweede,second,Numbers,Ik woon op de tweede verdieping.,I live on the second floor.
derde,third,Numbers,De derde straat links.,The third street on the left.
Nederland,the Netherlands,Countries & Nationality,Nederland is een klein land.,The Netherlands is a small country.
Spanje,Spain,Countries & Nationality,In de zomer ga ik naar Spanje.,In summer I go to Spain.
Italië,Italy,Countries & Nationality,Het eten in Italië is heerlijk.,The food in Italy is delicious.
Marokko,Morocco,Countries & Nationality,Zij komt uit Marokko.,She is from Morocco.
Chinees,Chinese,Countries & Nationality,Hij spreekt Chinees.,He speaks Chinese.
Nederlands,Dutch (language/adj),Countries & Nationality,Ik leer Nederlands.,I'm learning Dutch.
Spaans,Spanish,Countries & Nationality,Zij spreekt Spaans.,She speaks Spanish.
Duits,German (adj),Countries & Nationality,Hij spreekt Duits.,He speaks German.
Pools,Polish,Countries & Nationality,De buurman is Pools.,The neighbour is Polish.
Arabisch,Arabic,Countries & Nationality,Zij spreekt Arabisch.,She speaks Arabic.
tot ziens,goodbye,Greetings & Phrases,"Tot ziens, tot morgen!","Goodbye, see you tomorrow!"
tot morgen,see you tomorrow,Greetings & Phrases,Tot morgen! Slaap lekker!,See you tomorrow! Sleep well!
welkom,welcome,Greetings & Phrases,Welkom in Nederland!,Welcome to the Netherlands!
pardon,pardon / excuse me,Greetings & Phrases,"Pardon, waar is het station?","Excuse me, where is the station?"
graag gedaan,you're welcome,Greetings & Phrases,Dankjewel! - Graag gedaan!,Thank you! - You're welcome!
goedenacht,good night,Greetings & Phrases,"Goedenacht, slaap lekker!","Good night, sleep well!"
doei,bye (informal),Greetings & Phrases,Doei! Tot later!,Bye! See you later!
dag,hello / goodbye (informal),Greetings & Phrases,Dag mevrouw!,Hello ma'am!
tot straks,see you later,Greetings & Phrases,Ik ga nu. Tot straks!,I'm going now. See you later!
alstublieft,please (formal),Greetings & Phrases,"Een koffie, alstublieft.","A coffee, please."
maandag,Monday,Time & Calendar,Op maandag werk ik.,On Monday I work.
dinsdag,Tuesday,Time & Calendar,Dinsdag heb ik les.,On Tuesday I have class.
woensdag,Wednesday,Time & Calendar,Woensdag is mijn vrije dag.,Wednesday is my day off.
donderdag,Thursday,Time & Calendar,Op donderdag ga ik sporten.,On Thursday I go exercise.
zaterdag,Saturday,Time & Calendar,Op zaterdag ga ik naar de markt.,On Saturday I go to the market.
zondag,Sunday,Time & Calendar,Op zondag rust ik uit.,On Sunday I rest.
april,April,Time & Calendar,Koningsdag is in april.,King's Day is in April.
mei,May,Time & Calendar,In mei is het mooi weer.,In May the weather is nice.
december,December,Time & Calendar,In december vieren we Kerstmis.,In December we celebrate Christmas.
's ochtends,in the morning,Time & Calendar,'s Ochtends drink ik koffie.,In the morning I drink coffee.
roze,pink,Colors,Zij draagt een roze jurk.,She wears a pink dress.
paars,purple,Colors,De bloemen zijn paars.,The flowers are purple.
lichtblauw,light blue,Colors,De lucht is lichtblauw.,The sky is light blue.
donkerblauw,dark blue,Colors,Zijn jas is donkerblauw.,His jacket is dark blue.
goud,gold,Colors,De ring is goud.,The ring is gold.
kunnen,can / to be able to,Language & Communication,Kun je Nederlands spreken?,Can you speak Dutch?
moeten,must / to have to,Language & Communication,Ik moet naar school.,I have to go to school.
mogen,may / to be allowed to,Language & Communication,Mag ik hier zitten?,May I sit here?
willen,to want,Language & Communication,Ik wil een kopje koffie.,I want a cup of coffee.
gaan,to go,Language & Communication,Ik ga naar huis.,I go home.
komen,to come,Language & Communication,Kom je morgen?,Are you coming tomorrow?
hebben,to have,Language & Communication,Ik heb twee kinderen.,I have two children.
geven,to give,Language & Communication,Ik geef je een cadeau.,I give you a present.
zeggen,to say,Language & Communication,Wat zeg je?,What do you say?
denken,to think,Language & Communication,Ik denk dat het goed is.,I think it's good.
weten,to know,Language & Communication,Ik weet het niet.,I don't know.
begrijpen,to understand,Language & Communication,Begrijp je mij?,Do you understand me?
uitleggen,to explain,Language & Communication,Kun je dat uitleggen?,Can you explain that?
herhalen,to repeat,Language & Communication,Kun je dat herhalen?,Can you repeat that?
betekenen,to mean,Language & Communication,Wat betekent dit woord?,What does this word mean?
de kleding,the clothing,Shopping & Money,Ik koop nieuwe kleding.,I'm buying new clothing.
de jas,the jacket / coat,Shopping & Money,Ik heb een warme jas nodig.,I need a warm jacket.
de schoenen,the shoes,Shopping & Money,Deze schoenen zijn te klein.,These shoes are too small.
het T-shirt,the T-shirt,Shopping & Money,Ik koop een nieuw T-shirt.,I'm buying a new T-shirt.
de broek,the trousers,Shopping & Money,De broek past niet.,The trousers don't fit.
de jurk,the dress,Shopping & Money,De jurk is mooi.,The dress is beautiful.
