text,translation,strength,example_translated,example,audio,image
en,and,Weak,I'm from France and he's from China.,Ik kom uit Frankrijk en hij komt uit China.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612427784.mp3,https://cdn.busuu.com/media/resized/entity/720/en_1611139995_720.jpg
En jij?,And you?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_7029506891650967172_1650967172_720.jpg
En met jou?,How about you?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_20266599591650970511_1650970511_720.jpg
Engeland,England,Strong,"He's from England, he's English.","Hij komt uit Engeland, hij is Engels.",https://cdn.busuu.com/media/resized/audio/florisenglishcourseaudioa_l_str___1608567479.mp3,https://cdn.busuu.com/media/resized/entity/720/grootbrittanie_1605176768_720.jpg
eten,to eat,Strong,He eats a sandwich.,Hij eet een broodje.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326231.mp3,https://cdn.busuu.com/media/resized/entity/720/eten_1606816804_720.jpg
februari,February,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/februari_1608194186_720.jpg
Frankrijk,France,Strong,"I'm from France, I'm French.","Ik kom uit Frankrijk, ik ben Frans.",https://cdn.busuu.com/media/resized/audio/a_l_str___1608564416.mp3,https://cdn.busuu.com/media/resized/entity/720/frankrijk_1605176642_720.jpg
friet,fries (Belgium),Strong,We eat fries every week. (Belgium),We eten elke week frieten.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326367.mp3,https://cdn.busuu.com/media/resized/entity/720/friettten_1606823898_720.jpg
fruit,fruit,Strong,He eats a lot of fruit.,Hij eet veel fruit. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326316.mp3,https://cdn.busuu.com/media/resized/entity/720/fruit_1606822973_720.jpg
ga links,go left,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/galinks_1607338561_720.jpg
ga rechtdoor,go straight ahead,Strong,Go straight ahead. The supermarket is there.,Ga rechtdoor. Daar is de supermarkt.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608809063.mp3,https://cdn.busuu.com/media/resized/entity/720/_rechtodor_1607101924_720.jpg
ga rechts,go right,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/aright_1607338874_720.jpg
gaan dansen,to go dancing,Medium,My sisters go dancing together every Wednesday.,Mijn zussen gaan elke woensdag samen dansen.,https://cdn.busuu.com/media/resized/audio/a1_l75_str_59511256f9cf42d89add3bd64766aa201652271977_1652271977.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_15826316051650437360_1650437360_720.jpg
gaan fietsen,to go cycling,Medium,I'm going cycling next weekend.,Ik ga volgend weekend fietsen.,https://cdn.busuu.com/media/resized/audio/a1_l75_str_cac90256184b44cb8dad8a7c5e2866b61652271910_1652271910.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsdocastle227032811650378063_1650378063_720.jpg
gaan schaatsen,to go ice skating,Weak,Do you want to go ice skating tomorrow?,Willen jullie morgen gaan schaatsen?,https://cdn.busuu.com/media/resized/audio/a1_l75_str_991e35f0003d474b928eedd11e615c171652271996_1652271996.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_5157673361650437482_1650437482_720.jpg
gaan slapen,to go to sleep,Strong,What time do you usually go to sleep?,Hoe laat ga jij gewoonlijk slapen?,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135725.mp3,https://cdn.busuu.com/media/resized/entity/720/gotobed_1610034227_720.jpg
gaan zwemmen,to go swimming,Weak,Flora goes swimming on Mondays and Fridays.,Flora gaat op maandag en vrijdag zwemmen.,https://cdn.busuu.com/media/resized/audio/a1_l75_str_e1325cd7c37241cd83cef0e8b5dd40cb1652271892_1652271892.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsemilyrose206269011650377889_1650377889_720.jpg
geel,yellow,Strong,What's your favourite colour? - My favourite colour is yellow.,Wat is je lievelingskleur? - Mijn lievelingskleur is geel.,https://cdn.busuu.com/media/resized/audio/a1_l47_str_beb78603b28047ff84003e755c441a951646050802_1646050802.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1487103767_1643897096_720.jpg
geen probleem,no problem,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/geenprobleem_1604296131_720.jpg
Gelukkige verjaardag!,Happy birthday!,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/gelukkigeverjaardag_1608642503_720.jpg
gescheiden,divorced,Strong,My mother and father are divorced.,Mijn moeder en vader zijn gescheiden.,https://cdn.busuu.com/media/resized/audio/a1_l42_str_14c68ee3a1cb4436b923d7db3ce21d791654766564_1654766564.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_14531410701651735434_1651735434_720.jpg
gesloten,closed,Strong,The school is closed.,De school is gesloten.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609332648.mp3,https://cdn.busuu.com/media/resized/entity/720/gesloten_1607081924_720.jpg
getrouwd,married,Strong,This is my brother. He's living in Spain and he's married.,Dit is mijn broer. Hij woont in Spanje en hij is getrouwd.,https://cdn.busuu.com/media/resized/audio/a1_l42_str_4c9a982480754af48a68195d93152fb61654766513_1654766513.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_20832580901651735523_1651735523_720.jpg
gisteren,yesterday,Strong,Yesterday was his birthday.,Gisteren was hij jarig.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611135193.mp3,https://cdn.busuu.com/media/resized/entity/720/gisteren_1609922998_720.jpg
goedemiddag,good afternoon,Strong,"Good afternoon, Ms Jansen.","Goedemiddag, mevrouw Jansen.",https://cdn.busuu.com/media/resized/audio/a_l_str___1606140539.mp3,https://cdn.busuu.com/media/resized/entity/720/goedemiddag_1604073451_720.jpg
Goedemiddag!,Good afternoon,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/goedemiddag_1604073451_720.jpg
goedemorgen,good morning,Strong,"Good morning, Ms Visser.","Goedemorgen, mevrouw Visser.",https://cdn.busuu.com/media/resized/audio/a_l_str___1606142634.mp3,https://cdn.busuu.com/media/resized/entity/720/goedemorgen_1604072643_720.jpg
goedenavond,good evening,Strong,"Good evening, Mr De Vries.","Goedenavond, meneer De Vries.",https://cdn.busuu.com/media/resized/audio/a_l_tr___1606140937.mp3,https://cdn.busuu.com/media/resized/entity/720/goedenavond_1604075875_720.jpg
goedkoop,cheap,Strong,The T-shirt is cheap.,Het T-shirt is goedkoop.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326719.mp3,https://cdn.busuu.com/media/resized/entity/720/goedkoop_1606984848_720.jpg
grijs,grey,Strong,Her favourite bag is grey.,Haar lievelingstas is grijs.,https://cdn.busuu.com/media/resized/audio/a1_l47_str_ce43240462f544a4ab322060cfc6b0b61646051297_1646051297.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1539295739_1644320906_720.jpg
groen,green,Strong,He always wears green glasses.,Hij draagt altijd een groene bril.,https://cdn.busuu.com/media/resized/audio/a1_l47_str_be73c82850d54c9bb3b97bb9a7fe92591646051160_1646051160.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_126882149_1643897606_720.jpg
groente,vegetable,Strong,She eats a lot of vegetables.,Zij eet veel groente.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807689.mp3,https://cdn.busuu.com/media/resized/entity/720/groente_1606823180_720.jpg
groot,"big, large",Strong,The house is big.,Het huis is groot.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404478.mp3,https://cdn.busuu.com/media/resized/entity/720/groot_1607081084_720.jpg
haar vader,her father,Strong,Her father lives in Nijmegen.,Haar vader woont in Nijmegen.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609953608.mp3,https://cdn.busuu.com/media/resized/entity/720/haarvader_1607613397_720.jpg
half uur,half an hour,Strong,We're eating in half an hour.,Over een half uur gaan we eten.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611332851.mp3,https://cdn.busuu.com/media/resized/entity/720/halfuur_1609998868_720.jpg
ham,ham,Strong,The girl eats a slice of bread with ham.,Het meisje eet een boterham met ham.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807673.mp3,https://cdn.busuu.com/media/resized/entity/720/ham_1606822298_720.jpg
heerlijk,delicious,Strong,She finds chocolate delicious.,Zij vindt chocolade heerlijk.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609401529.mp3,https://cdn.busuu.com/media/resized/entity/720/delicious_1606925092_720.jpg
het adres,the address,Strong,The address is Herengracht 98.,Het adres is Herengracht 98.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608808690.mp3,https://cdn.busuu.com/media/resized/entity/720/hetadres_1606987776_720.jpg
het appartement,the apartment,Strong,She lives in an apartment on Herengracht.,Zij woont in een appartement aan de Herengracht.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609330000.mp3,https://cdn.busuu.com/media/resized/entity/720/hetappartement_1606988168_720.jpg
het avondeten,the dinner,Strong,What time is dinner? - At six o 'clock.,Hoe laat is het avondeten? - Om zes uur.,https://cdn.busuu.com/media/resized/audio/a1_l59_str_9998e5e71fd64cdaad5e256bf28a306d1646997965_1646997965.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_192814820311645444579_1645444579_720.jpg
het basketbal,basketball,Medium,My brothers want to play basketball in the square tomorrow.,Mijn broers willen morgen op het plein basketballen.,https://cdn.busuu.com/media/resized/audio/a1_l73_str_d88e65a9ad2743a79348762daeb0de6f1652250488_1652250488.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_18506774021650614658_1650614658_720.jpg
het boek,the book,Strong,The children like the book.,De kinderen vinden het boek leuk.,https://cdn.busuu.com/media/resized/audio/a_ll_str___1613673275.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610311673_720.jpg
het cadeau,the present,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/cadeau_1608644246_720.jpg
het café,the cafe,Strong,Tonight we'll have a drink in the cafe.,Vanavond gaan we iets drinken in het café.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612424588.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610466697_720.jpg
het centrum,the city centre,Strong,The city centre of Amsterdam is busy.,Het centrum van Amsterdam is druk.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404925.mp3,https://cdn.busuu.com/media/resized/entity/720/centrum_1607408625_720.jpg
Het eten is lekker.,The food is tasty.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/a_hetetenislekker_1606908076_720.jpg
het feest,the party,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/feest_1608644336_720.jpg
Het gaat goed.,I'm good.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_19468502081650970058_1650970058_720.jpg
het geld,the money,Weak,How much money do you have in your wallet?,Hoeveel geld heb jij in jouw portemonee?,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1613591402.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1612277366_720.jpg
het hotel,the hotel,Strong,There is one hotel in the village.,Er is één hotel in het dorp.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609330565.mp3,https://cdn.busuu.com/media/resized/entity/720/hotel_1607408027_720.jpg
het huis,the house,Strong,I live in a house in Amsterdam.,Ik woon in een huis in Amsterdam.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404294.mp3,https://cdn.busuu.com/media/resized/entity/720/hethuis_1606988019_720.jpg
Het is half vijf.,It's half past four.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/hetishalfvijf_1609999320_720.jpg
Het is...,It is...,Strong,It is three o'clock.,Het is drie uur.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1611215057.mp3,https://cdn.busuu.com/media/resized/entity/720/hetis_1609937009_720.jpg
het jaar,the year,Strong,There are twelve months in a year.,Er zijn twaalf maanden in een jaar.,https://cdn.busuu.com/media/resized/audio/a_l_str___1610735013.mp3,https://cdn.busuu.com/media/resized/entity/720/jaar_1608193741_720.jpg
het kaartje,the ticket,Weak,Can I buy a ticket to Groningen?,Kan ik een kaartje kopen naar Groningen?,https://cdn.busuu.com/media/resized/audio/a_l_str___1613670078.mp3,https://cdn.busuu.com/media/resized/entity/720/kaartje_1612086456_720.jpg
het karate,karate,Medium,We do karate in the sports club.,Wij doen aan karate in de sportclub.,https://cdn.busuu.com/media/resized/audio/a1_l75_str_92c419bf9a554c7c8aa985352adb77da1652272124_1652272124.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsartempodrez625331011650438552_1650438552_720.jpg
het koekje,the biscuit,Medium,Would you also like a biscuit with your coffee?,Wil je ook een koekje bij de koffie?,https://cdn.busuu.com/media/resized/audio/a1_l71_str_58f90fb75a224742b0e43aaea952d6481652247472_1652247472.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsmaxvakhtbovych599794811649167003_1649167003_720.jpg
het loket,the counter,Weak,"At Amsterdam Centraal, you can buy a ticket from a counter.",Op Amsterdam Centraal kun je een kaartje kopen bij een loket.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1613590437.mp3,https://cdn.busuu.com/media/resized/entity/720/hetloket_1612341023_720.jpg
het mobieltje,the mobile phone,Strong,My mobile phone is always in my bag.,Mijn mobieltje zit altijd in mijn tas.,https://cdn.busuu.com/media/resized/audio/a1_l45_str_987cdb0cb0e94a92ab44fe4681bc1b9b1646046795_1646046795.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_790628113_1643811653_720.jpg
het museum,the museum,Strong,Are we going to the museum?,Gaan we naar het museum?,https://cdn.busuu.com/media/resized/audio/a_l_str___1612424674.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1610479601_720.jpg
het nummer,the number,Strong,"I live on Hoofdstraat, at number 29.","Ik woon aan de Hoofdstraat, op nummer 29.",https://cdn.busuu.com/media/resized/audio/a_l_str___1609332368.mp3,https://cdn.busuu.com/media/resized/entity/720/hetnummer_1606987009_720.jpg
het ontbijt,the breakfast ,Strong,Breakfast is an important meal.,Het ontbijt is een belangrijke maaltijd.,https://cdn.busuu.com/media-resources/audio/22dc04df-2eb3-4750-a07c-573de7fe3129.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_986690661645440701_1645440701_720.jpg
het openbaar vervoer,the public transport,Weak,He always takes public transport.,Hij neemt altijd het openbaar vervoer. ,https://cdn.busuu.com/media/resized/audio/a_l_str___1613555162.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1611918718_720.jpg
het paspoort,the passport,Weak,I have a lot of stamps in my passport.,Ik heb veel stempels in mijn paspoort.,https://cdn.busuu.com/media/resized/audio/florisflemishbusuuaudioa_l_str___1615907889.mp3,https://cdn.busuu.com/media/resized/entity/720/hetpaspoort_1613533117_720.jpg
het perron,the platform,Weak,It's very quiet on the platform.,Het is erg rustig op het perron.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudioa_l_str___1613590403.mp3,https://cdn.busuu.com/media/resized/entity/720/hetperron_1612340119_720.jpg
het plein,the square,Weak,In the city centre you will find a big square with a lot of bars.,In het centrum van de stad vind je een groot plein met veel cafés.,https://cdn.busuu.com/media-resources/audio/6120a07d-4917-4f48-b9c6-f64eb9e5af91.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_10274057141661240481_1661240481_720.jpg
het postkantoor,the post office,Strong,Marieke works in the post office.,Marieke werkt in het postkantoor.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404772.mp3,https://cdn.busuu.com/media/resized/entity/720/postkantoor_1607406164_720.jpg
het seizoen,the season,Weak,"In the Netherlands and Belgium, there are four seasons.",In Nederland en België zijn er vier seizoenen.,https://cdn.busuu.com/media/resized/audio/a_ll_str___1615663811.mp3,https://cdn.busuu.com/media/resized/entity/720/seizoenii_1614282890_720.jpg
het spoor,the track,Weak,The train from Luik will arrive on platform 11.,De trein uit Luik komt aan op spoor 11.,https://cdn.busuu.com/media/resized/audio/a_l_str___1613671581.mp3,https://cdn.busuu.com/media/resized/entity/720/hetspoor_1612340003_720.jpg
het stadhuis,the city hall,Strong,Where is the city hall?,Waar is het stadhuis?,https://cdn.busuu.com/media/resized/audio/a_l_str___1608809191.mp3,https://cdn.busuu.com/media/resized/entity/720/stadhuis_1607406003_720.jpg
het team,the team,Strong,She plays in a football team.,Zij speelt voetbal in een team.,https://cdn.busuu.com/media/resized/audio/a1_l74_str_f56b20f859b34f1c861201fd1cb7efb71652258102_1652258103.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1898865711650620953_1650620954_720.jpg
het tennis,tennis,Medium,Their favourite sport is tennis.,Hun favoriete sport is tennis.,https://cdn.busuu.com/media/resized/audio/a1_l73_str_1c880f276636405880b3a39d8798695b1652250368_1652250368.mp3,https://cdn.busuu.com/media/resized/entity/720/pexelsgonzalofacello143203911650281624_1650281624_720.jpg
het toetje,the dessert,Strong,My grandad always eats dessert after dinner.,Mijn opa eet altijd een toetje na het avondeten.,https://cdn.busuu.com/media/resized/audio/a1_l60_str_b2b93a930c494db7a57321b093d3e9631646998539_1646998539.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_3794140451645445870_1645445870_720.jpg
het treinstation,the train station,Strong,The train station in Amsterdam is big.,Het treinstation in Amsterdam is groot.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609330531.mp3,https://cdn.busuu.com/media/resized/entity/720/treinstation_1607407652_720.jpg
het uur,the hour,Strong,"After eight o'clock, the supermarket is closed.",Na acht uur is de supermarkt gesloten.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611134993.mp3,https://cdn.busuu.com/media/resized/entity/720/hetuur_1609937397_720.jpg
het vliegtuig,the plane,Weak,The plane to New York departs in half an hour.,Het vliegtuig naar New York vertrekt over een half uur.,https://cdn.busuu.com/media/resized/audio/florisflemishbusuuaudioa_l_str___1615907785.mp3,https://cdn.busuu.com/media/resized/entity/720/hetvliegtuig_1613463792_720.jpg
het voetbal,football,Medium,My sister likes playing football.,Mijn zus speelt graag voetbal.,https://cdn.busuu.com/media/resized/audio/a1_l73_str_9ceaa779361f49dd81903f733bf80b5a1652250104_1652250104.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_18487689071650281500_1650281500_720.jpg
het volleybal,volleyball,Medium,Joana plays volleyball with her friends every Wednesday and Saturday.,Joana speelt elke woensdag en zaterdag volleybal met haar vrienden.,https://cdn.busuu.com/media/resized/audio/a1_l73_str_a49e661634ba4945a7ef6957489ce9971652250532_1652250532.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_577575191650282613_1650282613_720.jpg
het weekend,the weekend,Strong,At the weekend I eat out at restaurants.,In het weekend eet ik in een restaurant.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudiostr___1611213971.mp3,https://cdn.busuu.com/media/resized/entity/720/hetweekend_1608271578_720.jpg
Hoe gaat het?,How is it going?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1131983591650968589_1650968589_720.jpg
Hoe heet je?,What's your name?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock_115573999011650965773_1650965773_720.jpg
Hoe laat is het?,What time is it?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/hoelaatishet_1609928748_720.jpg
Hoe oud ben jij?,How old are you?,Strong,How old are you? — I'm 25 years old.,Hoe oud ben jij? — Ik ben 25 jaar oud.,https://cdn.busuu.com/media/resized/audio/str___1610814290.mp3,https://cdn.busuu.com/media/resized/entity/720/hoeoud_1608641031_720.jpg
Hoe vaak...,How often...,Strong,How often do you cook?,Hoe vaak kook jij?,https://cdn.busuu.com/media/resized/audio/a_l_str___1611136274.mp3,https://cdn.busuu.com/media/resized/entity/720/hoevaak_1610515484_720.jpg
Hoeveel kost...?,How much does ... cost?,Strong,How much does the fish cost?,Hoeveel kost de vis?,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331869.mp3,https://cdn.busuu.com/media/resized/entity/720/hoeveelkost_1606981708_720.jpg
Hoi!,Hi!,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/hallo_1603792281_7201650959921_1650959921_720.jpg
honderd,one hundred,Strong,My grandmother is one hundred years old.,Mijn oma is honderd jaar.,https://cdn.busuu.com/media/resized/audio/a_l_str___1610735747.mp3,https://cdn.busuu.com/media/resized/entity/720/jpg_1609141285_720.jpg
honger,hungry,Strong,I'm hungry.,Ik heb honger.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331778.mp3,https://cdn.busuu.com/media/resized/entity/720/honger_1606899453_720.jpg
houden van,to love,Strong,We love food.,Wij houden van eten.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609326450.mp3,https://cdn.busuu.com/media/resized/entity/720/love_1606900570_720.jpg
hun ouders,their parents,Strong,The children live with their parents.,De kinderen wonen bij hun ouders.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609949877.mp3,https://cdn.busuu.com/media/resized/entity/720/kinderenbijouders_1607615540_720.jpg
Ik begrijp het niet.,I don't understand.,Strong,"Sorry, I don't understand. I don't speak Dutch.","Sorry, ik begrijp het niet. Ik spreek geen Nederlands.",https://cdn.busuu.com/media/resized/audio/a1_l23_str_53705e5efdf54f2596831e5375f3db81_1644927574.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_1808652787_1642689105_720.jpg
Ik ben leraar.,I'm a teacher.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/teacher_male_1604401608_720.jpg
Ik heb dorst.,I'm thirsty.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/aaaadorst_1606909421_720.jpg
Ik heb honger.,I'm hungry.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/honger_1610382635_720.jpg
Ik spreek Frans en Nederlands.,I speak French and Dutch.,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/ikspreek_1610375023_720.jpg
Ik spreek geen...,I don't speak...,Strong,I don't speak Arabic.,Ik spreek geen Arabisch.,https://cdn.busuu.com/media/resized/audio/a1_l23_str_8c6c1a67a33644e1bd89ab1d871b3f7e_1644932237.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_14046672141_1642438673_720.jpg
Ik versta u prima!,I understand you just fine!,Weak,,,,https://cdn.busuu.com/media-resources/image/a/pr:exercise_m/plain/s3://busuu-logos-service-media-production/media-resources/image/0971c164-7571-4e08-9a6c-b92cc9567f63.jpg@jpg
inchecken,to check in,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1613461327_720.jpg
instappen,to get on,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/shutterstock__1612285215_720.jpg
interessant,interesting,Medium,We find the museum interesting.,Wij vinden het museum interessant.,https://cdn.busuu.com/media/resized/audio/a_l_str___1612353522.mp3,https://cdn.busuu.com/media/resized/entity/720/interessant_1610949835_720.jpg
Is zij Engels?,Is she English?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/issheenglish_1606297546_720.jpg
ja,yes,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/ja_1605802513_720.jpg
"Ja, graag!","Yes, I'd love to!",Strong,,,,https://cdn.busuu.com/media/resized/entity/720/abxc_1609410783_720.jpg
"Ja, natuurlijk!","Yes, of course!",Strong,,,,https://cdn.busuu.com/media/resized/entity/720/janaturulijk_1607100851_720.jpg
januari,January,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/januarifebruari_1608194129_720.jpg
Japan,Japan,Strong,"They are from Japan, they're Japanese.","Zij komen uit Japan, ze zijn Japans.",https://cdn.busuu.com/media/resized/audio/a_l_str___1608717843.mp3,https://cdn.busuu.com/media/resized/entity/720/japan_1605693876_720.jpg
jarig,birthday,Strong,It's Sander's birthday.,Sander is jarig.,https://cdn.busuu.com/media/resized/audio/florisbusuuaudiostr___1611214485.mp3,https://cdn.busuu.com/media/resized/entity/720/jarig_1608638107_720.jpg
je zus / jouw zus,your sister,Strong,"Where does your sister work?
",Waar werkt je zus?,https://cdn.busuu.com/media/resized/audio/a_l_str___1609949617.mp3,https://cdn.busuu.com/media/resized/entity/720/jezus_1607598904_720.jpg
Jeetje!,Geez!,Medium,"Geez, does the book cost 80 euro? That's expensive!","Jeetje, kost het boek 80 euro? Dat is duur!",https://cdn.busuu.com/media/resized/audio/a1_l72_str_90a2c47d0ecb4a44af109d6bcaf78bd11652248877_1652248877.mp3,https://cdn.busuu.com/media/resized/entity/720/untitleddesign151649245140_1649245140_720.jpg
juli,July,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/juli_1608194444_720.jpg
jullie ouders,your (plural) parents,Strong,Do your (plural) parents live in the Netherlands?,Wonen jullie ouders in Nederland?,https://cdn.busuu.com/media/resized/audio/a_l_str___1609953699.mp3,https://cdn.busuu.com/media/resized/entity/720/nlfamilie_1607614976_720.jpg
juni,June,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/meijuni_1608194432_720.jpg
kaas,cheese,Strong,The boy eats a slice of bread with cheese.,De jongen eet een boterham met kaas.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608807638.mp3,https://cdn.busuu.com/media/resized/entity/720/kaas_1606822124_720.jpg
Kan ik bestellen?,Can I order?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/kanikbestellensr_1606802004_720.jpg
koffie,coffee,Strong,"Two coffees, please.","Twee koffie, alsjeblieft.",https://cdn.busuu.com/media/resized/audio/a_l_str___1609399431.mp3,https://cdn.busuu.com/media/resized/entity/720/koffie_1606721783_720.jpg
koken,to cook,Strong,My friend is cooking tasty food tonight.,Mijn vriend kookt lekker eten vanavond.,https://cdn.busuu.com/media/resized/audio/a_l_str___1611333366.mp3,https://cdn.busuu.com/media/resized/entity/720/koken_1610033830_720.jpg
Kom binnen!,Come on in!,Strong,Hi Maria! It's good to see you. Come on in!,Hoi Maria! Wat leuk om je te zien. Kom binnen!,https://cdn.busuu.com/media/resized/audio/a1_l71_str_e8ea9622794e40058c66b08e7a9feeaf1652247367_1652247367.mp3,https://cdn.busuu.com/media/resized/entity/720/untitleddesign81649166693_1649166693_720.jpg
komen uit,to come from,Strong,I come from the Netherlands.,Ik kom uit Nederland.,https://cdn.busuu.com/media/resized/audio/a_l_str___1608564341.mp3,https://cdn.busuu.com/media/resized/entity/720/komenuit_1605172364_720.jpg
kopen,"to buy
",Strong,Maria buys fruit and vegetables at the market.,Maria koopt fruit en groenten op de markt.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331840.mp3,https://cdn.busuu.com/media/resized/entity/720/kopen_1606980593_720.jpg
kort,short,Strong,Mirjam's hair is short.,Mirjams haar is kort.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609404523.mp3,https://cdn.busuu.com/media/resized/entity/720/kort_1607081626_720.jpg
kosten,to cost,Strong,The potatoes cost 3 euro.,De aardappelen kosten 3 euro.,https://cdn.busuu.com/media/resized/audio/a_l_str___1609331852.mp3,https://cdn.busuu.com/media/resized/entity/720/kosten_1606981034_720.jpg
koud,cold,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/koud_1614603360_720.jpg
Kun je naar mijn feestje komen?,Can you come to my party?,Strong,,,,https://cdn.busuu.com/media/resized/entity/720/kunjenaarmijnfeestjekomen_1609405785_720.jpg
Kun je wat langzamer spreken?,Can you speak a bit more slowly?,Strong,"Sorry, I don't understand. Can you speak a bit more slowly?","Sorry, ik begrijp het niet. Kun je wat langzamer spreken?",https://cdn.busuu.com/media/resized/audio/a1_l4_str_a09cadeae3244a2292998099f2b55e43_p12_1644937762.mp3,https://cdn.busuu.com/media/resized/entity/720/shutterstock_19542786701_1642439698_720.jpg
